wkt_geom,id,name,nlc_id,nr_id,category
Point (519483.61075180512852967 179598.01440079271560535),940GZZLUACT,Acton Town,500,,LU
Point (532072.52332466305233538 181864.77020797762088478),940GZZLUBBN,Barbican,501,,LU
Point (533621.97200833389069885 181224.42901138617889956),940GZZLUALD,Aldgate,502,,LU
Point (533885.25462538469582796 181348.2904276509070769),940GZZLUADE,Aldgate East,503,,LU
Point (538164.67833861836697906 184869.85626377654261887),940GZZDLSIT,Stratford International,504,,Add DLR
Point (518029.63654509501066059 183782.1917053185752593),940GZZLUALP,Alperton,505,,LU
Point (531460.69864769047126174 183140.42072749807266518),940GZZLUAGL,Angel,507,,LU
Point (529380.89060709322802722 186820.19643707858631387),940GZZLUACY,Archway,508,,LU
Point (529338.08366531087085605 192505.77306494553340599),940GZZLUASG,Arnos Grove,509,,LU
Point (531249.3170523343142122 186028.42371464899042621),940GZZLUASL,Arsenal,510,,LU
Point (528061.85906117095146328 182016.42855333944316953),940GZZLUBST,Baker Street,511,,LU
Point (528459.55466951592825353 173198.55502399581018835),940GZZLUBLM,Balham,512,,LU
Point (532702.85547851852606982 181128.36542522493982688),940GZZLUBNK,Bank,513,,LU
Point (532911.49266955151688308 180822.2903704380732961),940GZZLUMMT,Monument,0644,,LU
Point (544428.7842245667707175 184347.27029620786197484),940GZZLUBKG,Barking,514,,LU
Point (544793.94452786666806787 189493.64737186097772792),940GZZLUBKE,Barkingside,515,,LU
Point (524109.40612572839017957 178330.92610325693385676),940GZZLUBSC,Barons Court,516,,LU
Point (525847.4447534327628091 180829.71085598267382011),940GZZLUBWT,Bayswater,517,,LU
Point (547620.66672184970229864 184530.7499359927023761),940GZZLUBEC,Becontree,518,,LU
Point (527346.69521996949333698 185088.95391826878767461),940GZZLUBZP,Belsize Park,519,,LU
Point (534985.8548399688443169 182749.03546552557963878),940GZZLUBLG,Bethnal Green,520,,LU
Point (531725.87226836057379842 180916.50277273048413917),940GZZLUBKF,Blackfriars,521,,LU
Point (535834.26234484661836177 189395.82573497662087902),940GZZLUBLR,Blackhorse Road,522,,LU
Point (543226.04097504972014576 180134.54668178252177313),940GZZDLKGV,King George V,523,,Add DLR
Point (528537.56666938925627619 181118.7441837121732533),940GZZLUBND,Bond Street,524,,LU
Point (532431.95039360923692584 179746.3711445655208081),940GZZLUBOR,Borough,525,,LU
Point (516390.77069063915405422 178759.08272982650669292),940GZZLUBOS,Boston Manor,526,,LU
Point (529997.29393500264268368 191475.57133087777765468),940GZZLUBDS,Bounds Green,527,,LU
Point (537113.40252366557251662 182739.19766703812638298),940GZZLUBWR,Bow Road,528,,LU
Point (523888.23956827900838107 187943.65692745114210993),940GZZLUBTX,Brent Cross,529,,LU
Point (538039.3713641733629629 182526.58484021108597517),940GZZLUBBB,Bromley-by-Bow,530,,LU
Point (520327.08353188156615943 190766.93767967616440728),940GZZLUBTK,Burnt Oak,532,,LU
Point (542238.92847355816047639 180298.67872610554331914),940GZZDLLCA,London City Airport,533,,Add DLR
Point (530564.61985768901649863 184959.12658942746929824),940GZZLUCAR,Caledonian Road,534,,LU
Point (528914.17147328075952828 183867.2773823791067116),940GZZLUCTN,Camden Town,535,,LU
Point (532616.30066083755809814 180897.06684952514478937),940GZZLUCST,Cannon Street,536,,LU
Point (518181.98959724442102015 191262.93065123370615765),940GZZLUCPK,Canons Park,537,,LU
Point (541181.09904593054670841 180106.57447395072085783),940GZZDLPDK,Pontoon Dock,538,,Add DLR
Point (528142.60045224614441395 184433.19460813578916714),940GZZLUCFM,Chalk Farm,540,,LU
Point (531084.49718696554191411 181605.12250931799644604),940GZZLUCHL,Chancery Lane,541,,LU
Point (530390.80548154306598008 180352.39286466856719926),940GZZLUEMB,Embankment,542,,LU
Point (520323.44399376248475164 178720.55762982816668227),940GZZLUCWP,Chiswick Park,545,,LU
Point (529476.45651597436517477 175318.63220532180275768),940GZZLUCPC,Clapham Common,547,,LU
Point (530001.73867403611075133 175680.49292228848207742),940GZZLUCPN,Clapham North,548,,LU
Point (528808.06311689119320363 174275.39487755211303011),940GZZLUCPS,Clapham South,549,,LU
Point (528125.8270320714218542 196383.9796761401812546),940GZZLUCKS,Cockfosters,550,,LU
Point (521328.23668181174434721 189956.77409334958065301),940GZZLUCND,Colindale,551,,LU
Point (526784.40656951570417732 170369.36997133673867211),940GZZLUCSD,Colliers Wood,552,,LU
Point (530261.18680797785054892 181021.8327328700106591),940GZZLUCGN,Covent Garden,553,,LU
Point (550268.83881039754487574 185035.44885534327477217),940GZZLUDGE,Dagenham East,555,,LU
