platform_id,name
7688,KENTON BAKERLOO NB                 
7617,LAMBETH NORTH SB                   
7997,THEYDON BOIS EB                    
8023,RODING VALLEY FROM HAINAULT EB     
8095,RUISLIP GARDENS WB                 
8075,WEST ACTON WB                      
8300,EARLS COURT DIST EDG RD EB         
8254,PADDINGTON DISTRICT EB             
7792,UPMINSTER BRIDGE EB                
7915,KEW GARDENS DISTRICT WB            
7894,WIMBLEDON PARK WB                  
8330,EALING COMMON DISTRICT WB          
7642,CANONS PARK NB                     
8879,WEST HAM Jubilee EB                
7813,EAST HAM H&C EB                    
7600,GOLDHAWK ROAD WB                   
8376,LIVERPOOL ST MET SB                
7569,CROXLEY NB                         
8352,CHALFONT & LAT MET CHES NB         
8354,CHALFONT & LAT MET AMER NB         
7552,HILLINGDON MET NB                  
7734,EAST FINCHLEY NB                   
8482,FINCHLEY CENTRAL MHE NB            
7718,TOTTERIDGE & WHETSTONE NB          
7699,BURNT OAK NB                       
7784,SOUTH WIMBLEDON SB                 
7925,OAKWOOD EB                         
7555,HILLINGDON PICC WB                 
7991,HATTON CROSS WB                    
8790,HEATHROW T123 ARRIVALS WB          
8105,BLACKHORSE ROAD VICTORIA NB        
8202,STOCKWELL VICTORIA SB              
1200,GOLDHAWK ROAD CIRCLE WB            
8253,PADDINGTON CIRCLE OR               
8687,WATERLOO W&C DEPS EB               
8609,BANK W&C DEPS WB                   
8878,WEST HAM Jubilee WB                
8875,NORTH GREENWICH Jubilee EB         
8874,NORTH GREENWICH Jubilee WB         
8871,CANADA WATER Jubilee EB            
8876,CANNING TOWN Jubilee WB            
8873,CANARY WHARF Jubilee EB            
8872,CANARY WHARF Jubilee WB            
8869,BERMONDSEY Jubilee EB              
8870,CANADA WATER Jubilee WB            
8867,LONDON BRIDGE Jubilee EB           
8866,LONDON BRIDGE Jubilee WB           
8863,WATERLOO Jubilee EB                
1114,HEATHROW T5 PICC EB                
4364,HEATHROW T4 EB                     
7992,HEATHROW T123 PICC EB              
7989,HOUNSLOW WEST WB                   
8201,STOCKWELL VICTORIA NB              
8121,PIMLICO SB                         
8122,VAUXHALL VICTORIA NB               
8195,VICTORIA VICTORIA SB               
7599,GOLDHAWK ROAD EB                   
1186,WOOD LANE WB                       
1189,WOOD LANE CIRCLE WB                
1199,GOLDHAWK ROAD CIRCLE EB            
7645,MARYLEBONE BAKERLOO NB             
8251,PADDINGTON BAKERLOO SB             
7728,WEST FINCHLEY NB                   
7719,TOTTERIDGE & WHETSTONE SB          
7935,TURNPIKE LANE EB                   
7932,BOUNDS GREEN WB                    
8011,SOUTH WOODFORD EB                  
8007,BUCKHURST HILL WB                  
8582,WIMBLEDON DISTRICT DEPS EB         
7892,SOUTHFIELDS WB                     
7658,KENSAL GREEN BAKERLOO NB           
7669,HARLESDEN BAKERLOO SB              
7630,KILBURN NB                         
7635,DOLLIS HILL SB                     
8072,EAST ACTON EB                      
8069,SHEPHERDS BUSH CENTRAL WB          
8387,ALDGATE EAST DISTRICT EB           
7840,STEPNEY GREEN DISTRICT WB          
8385,ALDGATE EAST H&C EB                
7842,STEPNEY GREEN H&C WB               
7871,ST JAMES'S PARK DISTRICT EB        
8229,EMBANKMENT DISTRICT WB             
8862,WATERLOO Jubilee WB                
8186,GREEN PARK JUBILEE SB              
7869,ST JAMES'S PARK CIRCLE IR          
8227,EMBANKMENT CIRCLE OR               
8306,BARONS COURT DISTRICT EB           
8297,EARLS COURT DIST EAL/RICH WB       
8335,RAYNERS LANE MET SB                
8339,HARROW - HILL UX NB                
8488,FINCHLEY RD JUBILEE NB             
7631,KILBURN SB                         
7829,BROMLEY-BY-BOW DISTRICT EB         
7820,PLAISTOW DISTRICT WB               
8880,STRATFORD Jubilee DEPS NB          
8877,CANNING TOWN Jubilee EB            
7831,BROMLEY-BY-BOW H&C EB              
7822,PLAISTOW H&C WB                    
8480,FINCHLEY CENTRAL HB NB             
7724,WOODSIDE PARK SB                   
7883,FULHAM BROADWAY EB                 
8296,EARLS COURT DIST WIM WB            
7593,LADBROKE GROVE EB                  
7588,ROYAL OAK WB                       
1192,ROYAL OAK CIRCLE WB                
1193,LADBROKE GROVE CIRCLE EB           
8572,EALING BROADWAY CENT DEPS EB       
8426,NORTH ACTON (EALING BWY) WB        
7636,NEASDEN NB                         
7639,KINGSBURY SB                       
7531,PRESTON ROAD SB                    
8491,FINCHLEY RD MET NB                 
7672,STONEBRIDGE PARK BAK NB            
7681,NORTH WEMBLEY BAKERLOO SB          
7616,LAMBETH NORTH NB                   
8225,EMBANKMENT BAKERLOO SB             
8864,SOUTHWARK Jubilee WB               
8861,WESTMINSTER Jubilee EB             
8457,KENNINGTON CX NB                   
8223,EMBANKMENT NORTHERN SB             
8250,PADDINGTON BAKERLOO NB             
7651,MAIDA VALE SB                      
7748,GOODGE STREET NB                   
8173,EUSTON NORTHERN CX SB              
8179,OXFORD CIRCUS VICTORIA NB          
8169,EUSTON VICTORIA SB                 
8441,LEYTONSTONE (HAINAULT) EB          
8037,REDBRIDGE WB                       
7875,SLOANE SQUARE DISTRICT EB          
7872,ST JAMES'S PARK DISTRICT WB        
8120,PIMLICO NB                         
8188,GREEN PARK VICTORIA SB             
7873,SLOANE SQUARE CIRCLE IR            
7870,ST JAMES'S PARK CIRCLE OR          
7819,PLAISTOW DISTRICT EB               
7812,EAST HAM DISTRICT WB               
7821,PLAISTOW H&C EB                    
7814,EAST HAM H&C WB                    
7806,BARKING DISTRICT EB                
7803,BECONTREE WB                       
7794,HORNCHURCH EB                      
7789,UPMINSTER DISTRICT DEPS WB         
7937,MANOR HOUSE EB                     
7934,WOOD GREEN WB                      
7922,CHISWICK PARK EB                   
7907,GUNNERSBURY DISTRICT EB            
7906,STAMFORD BROOK WB                  
7742,KENTISH TOWN NORTHERN NB           
7739,ARCHWAY SB                         
8408,MONUMENT DISTRICT EB               
8388,ALDGATE EAST DISTRICT WB           
8406,MONUMENT CIRCLE IR                 
7502,ALDGATE CIRCLE OR                  
7723,WOODSIDE PARK NB                   
7717,HIGH BARNET DEPS SB                
8116,SEVEN SISTERS VICTORIA NB          
8106,BLACKHORSE ROAD VICTORIA SB        
8181,OXFORD CIRCUS CENTRAL EB           
8266,HOLBORN CENTRAL WB                 
8273,LEICESTER SQUARE NTHN NB           
7749,GOODGE STREET SB                   
7781,COLLIERS WOOD NB                   
7778,TOOTING BEC SB                     
7779,TOOTING BROADWAY NB                
7774,BALHAM NORTHERN SB                 
8002,DEBDEN EB                          
8575,EPPING (MAIN) DEPS WB              
8228,EMBANKMENT DISTRICT EB             
7855,BLACKFRIARS DISTRICT WB            
8226,EMBANKMENT CIRCLE IR               
7853,BLACKFRIARS CIRCLE OR              
7620,ST JOHN'S WOOD NB                  
8489,FINCHLEY RD JUBILEE SB             
7968,SUDBURY HILL EB                    
7962,ALPERTON WB                        
7970,SOUTH HARROW EB                    
7967,SUDBURY TOWN WB                    
8399,MILE END CENTRAL EB                
8044,LEYTON WB                          
8224,EMBANKMENT BAKERLOO NB             
8278,PICCADILLY CIRCUS BAK SB           
8222,EMBANKMENT NORTHERN NB             
8274,LEICESTER SQUARE NTHN SB           
7668,HARLESDEN BAKERLOO NB              
7677,WEMBLEY CENTRAL BAKERLOO SB        
7767,CLAPHAM NORTH NB                   
7766,OVAL SB                            
8126,BRIXTON VICTORIA DEPS NB           
8123,VAUXHALL VICTORIA SB               
8389,WHITECHAPEL DISTRICT EB            
8398,MILE END DISTRICT WB               
8511,WHITECHAPEL H&C EB                 
8514,MILE END H&C WB                    
8410,TURNHAM GREEN EB                   
7904,RAVENSCOURT PARK WB                
8017,SNARESBROOK EB                     
8449,WOODFORD to ACTON WB               
7788,MORDEN DEPS NB                     
7782,COLLIERS WOOD SB                   
8094,RUISLIP GARDENS EB                 
8089,NORTHOLT WB                        
7680,NORTH WEMBLEY BAKERLOO NB          
7689,KENTON BAKERLOO SB                 
8289,GLOUCESTER ROAD DISTRICT EB        
7876,SLOANE SQUARE DISTRICT WB          
8285,GLOUCESTER ROAD PICC EB            
7956,KNIGHTSBRIDGE WB                   
8287,GLOUCESTER ROAD CIRCLE IR          
7874,SLOANE SQUARE CIRCLE OR            
8336,RAYNERS LANE PICC EB               
7969,SUDBURY HILL WB                    
7929,ARNOS GROVE EB                     
7926,OAKWOOD WB                         
7893,WIMBLEDON PARK EB                  
7890,EAST PUTNEY WB                     
7974,NORTHFIELDS EB                     
8322,ACTON TOWN PICC HR WB              
8444,LEYTONSTONE (EPPING) EB            
8012,SOUTH WOODFORD WB                  
8283,SOUTH KENSINGTON DIST EB           
8199,VICTORIA DISTRICT WB               
8281,SOUTH KENSINGTON CIRCLE IR         
8197,VICTORIA CIRCLE OR                 
8070,WHITE CITY EB                      
8067,HOLLAND PARK WB                    
8134,FINSBURY PARK VICTORIA NB          
8110,TOTTENHAM HALE VICTORIA SB         
8058,CHANCERY LANE EB                   
